,good,bad
1376,"""It's true, Lamp-Wick, it's true.  If today I am a reallyhappy boy, it is all because of you.  And to think that theteacher, when speaking of you, used to say, `Do not gowith that Lamp-Wick!  He is a bad companion and someday he will lead you astray.'""","""It's true, Lamp-Wick, it's true.  If today I am a reallyhappy boy, it is all"
1377,"""Poor teacher!"" answered the other, nodding his head.""Indeed I know how much he disliked me and how heenjoyed speaking ill of me.  But I am of a generous nature,and I gladly forgive him.""","""Poor teacher!"" answered the other, nodding his head.""Indeed I know how much he disliked me and how heenjoyed speaking ill of me.  But I am of a ge"
1378,"""Great soul!"" said Pinocchio, fondly embracing his friend.","""Great soul"
1379,"Five months passed and the boys continued playing andenjoying themselves from morn till night, without everseeing a book, or a desk, or a school.  But, my children,there came a morning when Pinocchio awoke and founda great surprise awaiting him, a surprise which made himfeel very unhappy, as you shall see.",Five months passed and t
1380,CHAPTER 32,CHAP
1381,Pinocchio's ears become like those of a Donkey.In a little while he changes into a real Donkey and begins to bray,Pinocchio's ears become like t
1382,"Everyone, at one time or another, has found some surpriseawaiting him.  Of the kind which Pinocchio had on thateventful morning of his life, there are but few.","Everyone, at one time or a"
1383,"What was it?  I will tell you, my dear little readers.On awakening, Pinocchio put his hand up to his head andthere he found--","What was it?  I will tell you, my dear little readers.On awakening, Pinocchio put "
1384,Guess!,Guess
1385,"He found that, during the night, his ears had grownat least ten full inches!","He found that, during the night, his ears"
1386,"You must know that the Marionette, even from hisbirth, had very small ears, so small indeed that to thenaked eye they could hardly be seen.  Fancy how he feltwhen he noticed that overnight those two dainty organshad become as long as shoe brushes!","You must know that the Marionette, even from hisbirth, had very small ears, so small indeed that to thenaked eye they coul"
1387,"He went in search of a mirror, but not finding any,he just filled a basin with water and looked at himself.There he saw what he never could have wished to see.His manly figure was adorned and enriched by a beautifulpair of donkey's ears.",He went in searc
1388,"I leave you to think of the terrible grief, the shame,the despair of the poor Marionette.","I leave you to think of the terrible grief, the shame,the despair of t"
1389,"He began to cry, to scream, to knock his head againstthe wall, but the more he shrieked, the longer and themore hairy grew his ears.","He began to cry, to scream, to knock "
1390,"At those piercing shrieks, a Dormouse came into theroom, a fat little Dormouse, who lived upstairs.  SeeingPinocchio so grief-stricken, she asked him anxiously:","At those piercing shrieks, a Dormouse came into theroom, a fat little Dormouse, who lived upst"
1391,"""What is the matter, dear little neighbor?""","""What is the matter, dear"
1392,"""I am sick, my little Dormouse, very, very sick--andfrom an illness which frightens me!  Do you understandhow to feel the pulse?""","""I am sick, my little Dormouse, very, very sick--andfrom an illness"
1393,"""A little.""","""A l"
1394,"""Feel mine then and tell me if I have a fever.""","""Feel mine then an"
1395,"The Dormouse took Pinocchio's wrist between her paws and,after a few minutes, looked up at him sorrowfully and said:""My friend, I am sorry, but I must give you some very sad news.""","The Dormouse took Pinocchio's wrist between her paws and,after a"
1396,"""What is it?""","""What is it"
1397,"""You have a very bad fever.""","""You have a very bad feve"
1398,"""But what fever is it?""","""But what fever is "
1399,"""The donkey fever.""","""Th"
1400,"""I don't know anything about that fever,"" answered the Marionette,beginning to understand even too well what was happening to him.","""I don't know anything about that fever,"" answered the Marionette,beginning to understand even too well what was happen"
1401,"""Then I will tell you all about it,"" said the Dormouse.""Know then that, within two or three hours, you will nolonger be a Marionette, nor a boy.""","""Then I "
1402,"""What shall I be?""",""""
1403,"""Within two or three hours you will become a real donkey,just like the ones that pull the fruit carts to market.""","""Within two or three hour"
1404,"""Oh, what have I done?  What have I done?"" cried Pinocchio,grasping his two long ears in his hands and pulling and tuggingat them angrily, just as if they belonged to another.","""Oh, what have I done?  What have I done?"" cried Pinocchio,grasping his two long ears in his h"
1405,"""My dear boy,"" answered the Dormouse to cheer him up a bit,""why worry now?  What is done cannot be undone, you know.Fate has decreed that all lazy boys who come to hate booksand schools and teachers and spend all their days with toysand games must sooner or later turn into donkeys.""","""My dear boy,"" answered the Dormouse to cheer him up a bit,""why worry now?  What is done cannot be undone, you know.Fate has decreed that all lazy boys who come to hate booksand school"
1406,"""But is it really so?"" asked the Marionette, sobbing bitterly.","""But is it really so?"" asked the Marionette, "
1407,"""I am sorry to say it is.  And tears now are useless.You should have thought of all this before.""","""I am sorry to sa"
1408,"""But the fault is not mine.  Believe me, little Dormouse,the fault is all Lamp-Wick's.""","""But the fault is not mine.  Believe me, little Dormouse,the fault is all Lamp-Wick"
1409,"""And who is this Lamp-Wick?""","""And who is this La"
1410,"""A classmate of mine.  I wanted to return home.  I wantedto be obedient.  I wanted to study and to succeedin school, but Lamp-Wick said to me, `Why do you wantto waste your time studying?  Why do you want to goto school?  Come with me to the Land of Toys.There we'll never study again.  There we can enjoyourselves and be happy from morn till night.'""","""A classmate of mine.  I wanted to return home.  I wantedto be obedient.  I wanted to study and to succeedin school, but Lamp-Wick said to me, `Why do you wantto waste your time studying?  Why do you want to goto school?  Come with me to the Land of Toys.There we'll never study again.  There we can enjoyoursel"
1411,"""And why did you follow the advice of that false friend?""","""And wh"
1412,"""Why?  Because, my dear little Dormouse, I am a heedlessMarionette--heedless and heartless.  Oh!  If I had onlyhad a bit of heart, I should never have abandonedthat good Fairy, who loved me so well and who has beenso kind to me!  And by this time, I should no longer be aMarionette.  I should have become a real boy, like all thesefriends of mine!  Oh, if I meet Lamp-Wick I am goingto tell him what I think of him--and more, too!""","""Why?  Because, my dear little Dormouse, I am a heedlessMarionette--heedless and heartless.  Oh!  If I had onlyhad a bit of heart, I should never have abandonedthat good Fairy, who loved me so well and who has beenso kind to me!  And by this time, I should no longer be aMarionette.  I should have become a real boy, like all thesefriends of mine!  Oh, if I meet Lamp-Wick I am goingto tell him wh"
1413,"After this long speech, Pinocchio walked to the doorof the room.  But when he reached it, remembering hisdonkey ears, he felt ashamed to show them to the publicand turned back.  He took a large cotton bag from a shelf,put it on his head, and pulled it far down to his very nose.","After this long speech, Pinocchio walked to the doorof the room.  But when he reached it, remembering hisdonkey ears, he felt ashamed to show them to the publicand turned back.  He took a large cotton "
1414,"Thus adorned, he went out.  He looked for Lamp-Wick everywhere,along the streets, in the squares, inside the theatres,everywhere; but he was not to be found.  He asked everyonewhom he met about him, but no one had seen him.  In desperation,he returned home and knocked at the door.","Thus adorned, he went out.  He looked for Lamp-Wick everywhere,along the streets, in the squares, inside th"
1415,"""Who is it?"" asked Lamp-Wick from within.","""Who is it?"""
1416,"""It is I!"" answered the Marionette.","""It is I!"" answered the Marion"
1417,"""Wait a minute.""","""Wait a mi"
1418,"After a full half hour the door opened.  Another surpriseawaited Pinocchio!  There in the room stood his friend,with a large cotton bag on his head, pulled far down to his very nose.",After a full half hour the door opened.  Another surpriseawaited Pinocchio!  There in the
1419,"At the sight of that bag, Pinocchio felt slightly happierand thought to himself:","At the sight of that bag, Pinocchio felt slightly happierand thought to hims"
1420,"""My friend must be suffering from the same sicknessthat I am!  I wonder if he, too, has donkey fever?""","""My friend must be suffering from th"
1421,"But pretending he had seen nothing, he asked with a smile:","But pretending he had seen nothing, he asked with a smi"
1422,"""How are you, my dear Lamp-Wick?""","""How are you, my dear La"
1423,"""Very well.  Like a mouse in a Parmesan cheese.""","""V"
1424,"""Is that really true?""","""Is"
1425,"""Why should I lie to you?""","""Why should I lie to yo"
1426,"""I beg your pardon, my friend, but why then are youwearing that cotton bag over your ears?""","""I beg your pardon, my friend, but why then are youwearing t"
1427,"""The doctor has ordered it because one of my knees hurts.And you, dear Marionette, why are you wearing that cotton bagdown to your nose?""","""The doctor has ordered it be"
1428,"""The doctor has ordered it because I have bruised my foot.""","""The doctor has ordered it because I have bru"
1429,"""Oh, my poor Pinocchio!""","""Oh,"
1430,"""Oh, my poor Lamp-Wick!""","""Oh, my poor Lamp-Wick"
1431,"An embarrassingly long silence followed these words,during which time the two friends looked at each otherin a mocking way.","An embarrassingly long silence followed these words,during which time the two friends looked at each otherin a mocking "
1432,"Finally the Marionette, in a voice sweet as honey andsoft as a flute, said to his companion:","Finally the Marionette, in a voice sweet as honey a"
1433,"""Tell me, Lamp-Wick, dear friend, have you eversuffered from an earache?""","""Tell me, Lamp-Wick, dear friend, have yo"
1434,"""Never!  And you?""","""Nev"
1435,"""Never!  Still, since this morning my ear has been torturing me.""","""Never!  Still, since t"
1436,"""So has mine.""","""So has mine."
1437,"""Yours, too?  And which ear is it?""","""Yours, too?"
1438,"""Both of them.  And yours?""","""Both of them.  A"
1439,"""Both of them, too.  I wonder if it could be the same sickness.""","""Bo"
1440,"""I'm afraid it is.""","""I'm afra"
1441,"""Will you do me a favor, Lamp-Wick?""","""Will you do me a favo"
1442,"""Gladly!  With my whole heart.""","""Gladly!  With m"
1443,"""Will you let me see your ears?""","""Will yo"
1444,"""Why not?  But before I show you mine, I want to see yours,dear Pinocchio.""","""Why not?  But before I"
1445,"""No.  You must show yours first.""","""No.  You must show "
1446,"""No, my dear!  Yours first, then mine.""","""No, "
1447,"""Well, then,"" said the Marionette, ""let us make a contract.""","""Well, then,"" s"
1448,"""Let's hear the contract!""","""Let's hear the "
1449,"""Let us take off our caps together.  All right?""","""Let us take off our caps together.  All right"
1450,"""All right.""","""All"
1451,"""Ready then!""","""Rea"
1452,"Pinocchio began to count, ""One!  Two!  Three!""",Pinocchio began to cou
1453,"At the word ""Three!"" the two boys pulled off theircaps and threw them high in air.","At the word ""Three!"" the two boys pulled off theircaps and th"
1454,"And then a scene took place which is hard to believe,but it is all too true.  The Marionette and his friend,Lamp-Wick, when they saw each other both stricken by thesame misfortune, instead of feeling sorrowful and ashamed,began to poke fun at each other, and after much nonsense,they ended by bursting out into hearty laughter.","And then a scene took place which is hard to believe,but it is all too true.  The Marionette and his friend,Lamp-Wick, when "
1455,"They laughed and laughed, and laughed again--laughedtill they ached--laughed till they cried.","They laughed and laughed, and laughed again--laughedti"
1456,"But all of a sudden Lamp-Wick stopped laughing.  He totteredand almost fell.  Pale as a ghost, he turned to Pinocchio and said:",But all of a sudden Lamp-Wick stopp
1457,"""Help, help, Pinocchio!""","""Help, hel"
1458,"""What is the matter?""","""W"
1459,"""Oh, help me!  I can no longer stand up.""","""Oh, help me!  "
1460,"""I can't either,"" cried Pinocchio; and his laughterturned to tears as he stumbled about helplessly.","""I can't either,"" cried Pinocchio; and his l"
1461,"They had hardly finished speaking, when both of them fellon all fours and began running and jumping around the room.As they ran, their arms turned into legs, their faces lengthenedinto snouts and their backs became covered with long gray hairs.","They had hardly finished speaking, when both of them fellon all fours and began running and jumping "
1462,"This was humiliation enough, but the most horriblemoment was the one in which the two poor creatures felttheir tails appear.  Overcome with shame and grief,they tried to cry and bemoan their fate.","This was humiliation enough, but the most horriblemoment was the one in which the two poor creatures felttheir tails appear.  Overco"
1463,"But what is done can't be undone!  Instead of moansand cries, they burst forth into loud donkey brays, whichsounded very much like, ""Haw!  Haw!  Haw!""",B
1464,"At that moment, a loud knocking was heard at the doorand a voice called to them:",At tha
1465,"""Open!  I am the Little Man, the driver of the wagonwhich brought you here.  Open, I say, or beware!""","""Open!  I am the Little Man, the driver of the wagonwhich brought you here.  Open, I say, or beware"
1466,CHAPTER 33,CH
1467,"Pinocchio, having become a Donkey,is bought by the owner of a Circus,who wants to teach him to do tricks.The Donkey becomes lame and is soldto a man who wants to use his skinfor a drumhead","Pinocchio, having become a Donkey,is bought by the owner of a Circus,who wants to teach him to do tricks.The Donkey becomes lame and is soldto a ma"
1468,"Very sad and downcast were the two poor little fellowsas they stood and looked at each other.  Outside the room,the Little Man grew more and more impatient, and finallygave the door such a violent kick that it flew open.  Withhis usual sweet smile on his lips, he looked at Pinocchioand Lamp-Wick and said to them:",Very sad and downcas
1469,"""Fine work, boys!  You have brayed well, so well thatI recognized your voices immediately, and here I am.""","""Fine work, boys!  You have brayed well, so well thatI recognized your voices immed"
1470,"On hearing this, the two Donkeys bowed their heads in shame,dropped their ears, and put their tails between their legs.","On hearing this, the two Donkeys bowed their heads in shame,dropped their ears, and put "
1471,"At first, the Little Man petted and caressed them andsmoothed down their hairy coats.  Then he took out acurrycomb and worked over them till they shone like glass.Satisfied with the looks of the two little animals,he bridled them and took them to a market place far awayfrom the Land of Toys, in the hope of selling them at agood price.","At first, the"
1472,"In fact, he did not have to wait very long for an offer.Lamp-Wick was bought by a farmer whose donkey had diedthe day before.  Pinocchio went to the owner of a circus,who wanted to teach him to do tricks for his audiences.","In fact, he did not have to wait very long for an offer.Lamp-Wick was bought by a farmer whose donkey had diedthe day before.  Pinocchio went to the owner of a circus,who wanted to teach him to do tricks for his audie"
1473,"And now do you understand what the Little Man'sprofession was?  This horrid little being, whose face shonewith kindness, went about the world looking for boys.Lazy boys, boys who hated books, boys who wanted torun away from home, boys who were tired of school--allthese were his joy and his fortune.  He took them withhim to the Land of Toys and let them enjoy themselvesto their heart's content.  When, after months of all playand no work, they became little donkeys, he sold them onthe market place.  In a few years, he had become a millionaire.","And now do you understand what the Little Man'sprofession was?  This horrid little being, whose face shonewith kindness, went about the world looking for boys.Lazy boys, boys who hated books, boys who wanted torun away from home, boys who were tired of school--allthese were his joy and his fortune.  He took them withhim to the Land of Toys and let them enjoy themselvesto their heart's content.  When, after months of all playand no work, they became little donkeys, he sold them onthe market place.  In a few years, he had become a mill"
1474,"What happened to Lamp-Wick?  My dear children, I do not know.Pinocchio, I can tell you, met with great hardshipseven from the first day.",What happ
1475,"After putting him in a stable, his new master filled hismanger with straw, but Pinocchio, after tasting a mouthful,spat it out.","After putting him in a stable, his new master filled hismanger with straw, but Pinocchio, aft"
1476,Then the man filled the manger with hay.But Pinocchio did not like that any better.,Then the man filled the manger with hay.But Pinoc
1477,"""Ah, you don't like hay either?"" he cried angrily.""Wait, my pretty Donkey, I'll teach you not to be so particular.""","""Ah, you "
1478,"Without more ado, he took a whip and gave the Donkeya hearty blow across the legs.","Without more ado, he took a whip"
1479,Pinocchio screamed with pain and as he screamed he brayed:,Pinocchio screamed w
1480,"""Haw!  Haw!  Haw!  I can't digest straw!""","""Haw!  Haw!  Haw!  I can't dige"
1481,"""Then eat the hay!"" answered his master, who understoodthe Donkey perfectly.","""Then eat the hay!"" answered his master, who unde"
1482,"""Haw!  Haw!  Haw!  Hay gives me a headache!""","""Haw!  Haw!  Haw!  Hay gives me a h"
1483,"""Do you pretend, by any chance, that I should feed you duckor chicken?"" asked the man again, and, angrier than ever,he gave poor Pinocchio another lashing.","""Do you pretend, by any chance, that I should fe"
1484,"At that second beating, Pinocchio became very quiet and said no more.","At that second beating, Pinocchio became very quie"
1485,"After that, the door of the stable was closed and hewas left alone.  It was many hours since he had eatenanything and he started to yawn from hunger.  As heyawned, he opened a mouth as big as an oven.","After that, the door of the stable was closed and hewas left alone.  It was many hours since he had eatenanythi"
1486,"Finally, not finding anything else in the manger,he tasted the hay.  After tasting it, he chewed it well,closed his eyes, and swallowed it.",Fi
1487,"""This hay is not bad,"" he said to himself.  ""But howmuch happier I should be if I had studied!  Just now,instead of hay, I should be eating some good breadand butter.  Patience!""","""This hay is not bad,"" he said to himself.  ""But howmuch happier I should be if"
1488,"Next morning, when he awoke, Pinocchio looked inthe manger for more hay, but it was all gone.  He hadeaten it all during the night.","Next morning, when he awoke, Pinocchio looked inthe manger for more hay, but it was all gone.  He hadeaten it a"
1489,"He tried the straw, but, as he chewed away at it, henoticed to his great disappointment that it tasted neitherlike rice nor like macaroni.","He tried the straw, but, as he chewed away at it, henoticed to his great disappointment that it tasted neitherl"
1490,"""Patience!"" he repeated as he chewed.  ""If only mymisfortune might serve as a lesson to disobedient boyswho refuse to study!  Patience!  Have patience!""","""Patience!"" he repeated as h"
1491,"""Patience indeed!"" shouted his master just then, as hecame into the stable.  ""Do you think, perhaps, my littleDonkey, that I have brought you here only to give youfood and drink?  Oh, no!  You are to help me earn somefine gold pieces, do you hear?  Come along, now.  I amgoing to teach you to jump and bow, to dance a waltz anda polka, and even to stand on your head.""","""Patience indeed!"" shouted his master just then, as hecame into the stable.  ""Do you think, perhaps, my littl"
1492,"Poor Pinocchio, whether he liked it or not, had to learnall these wonderful things; but it took him three longmonths and cost him many, many lashings before he waspronounced perfect.","Poor Pinocchio, whether he liked it or not, had to learn"
1493,"The day came at last when Pinocchio's master wasable to announce an extraordinary performance.  Theannouncements, posted all around the town, and writtenin large letters, read thus:",The day came at last
1494,GREAT SPECTACLE TONIGHTLEAPS AND EXERCISES BY THE GREAT ARTISTSAND THE FAMOUS HORSESof theCOMPANY,GREAT SPECTACLE TONIGHTLEAP
1495,First Public Appearance,Fi
1496,of the,of
1497,FAMOUS DONKEY,FAMOUS DONKE
1498,called,calle
1499,PINOCCHIO,P
1500,THE STAR OF THE DANCE----The Theater will be as Light as Day,THE STAR OF THE DANCE----The Theater will be as Light
1501,"That night, as you can well imagine, the theater was filledto overflowing one hour before the show was scheduled to start.","That night, as you can well i"
1502,"Not an orchestra chair could be had, not a balcony seat,nor a gallery seat; not even for their weight in gold.","Not an orchestra chair could be had, not a balcony seat,nor a gallery seat; not eve"
1503,"The place swarmed with boys and girls of all ages andsizes, wriggling and dancing about in a fever of impatienceto see the famous Donkey dance.","The place swarmed with boys and girls of all ages andsizes, wriggli"
1504,"When the first part of the performance was over, theOwner and Manager of the circus, in a black coat, whiteknee breeches, and patent leather boots, presented himselfto the public and in a loud, pompous voice made thefollowing announcement:","When the first part of the performance was over, theOwner and Manager of the circus, in a black coat, whiteknee breeches, and patent le"
1505,"""Most honored friends, Gentlemen and Ladies!","""Most hon"
1506,"""Your humble servant, the Manager of this theater,presents himself before you tonight in order to introduceto you the greatest, the most famous Donkey in the world,a Donkey that has had the great honor in his short life ofperforming before the kings and queens and emperors ofall the great courts of Europe.","""Your humble servant, the Manager of this theater,presents himself before you tonight in order to introduceto you the greatest, the most famous Donkey in the world,a Donkey that has had the great honor in "
1507,"""We thank you for your attention!""","""We thank you fo"
1508,"This speech was greeted by much laughter andapplause.  And the applause grew to a roar when Pinocchio,the famous Donkey, appeared in the circus ring.  He washandsomely arrayed.  A new bridle of shining leather withbuckles of polished brass was on his back; two whitecamellias were tied to his ears; ribbons and tassels of redsilk adorned his mane, which was divided into manycurls.  A great sash of gold and silver was fastened aroundhis waist and his tail was decorated with ribbons of manybrilliant colors.  He was a handsome Donkey indeed!","This speech was greeted by much laughter andapplause.  And the applause grew to a roar when Pinocchio,the famous Donkey, appeared in the circus ring.  He washandsomely arrayed.  A new bridle of shining leather withbuckles of polished b"
1509,"The Manager, when introducing him to the public,added these words:","The Manager, when introducing him to the public,add"
1510,"""Most honored audience!  I shall not take your timetonight to tell you of the great difficulties which I haveencountered while trying to tame this animal, since Ifound him in the wilds of Africa.  Observe, I beg of you,the savage look of his eye.  All the means used bycenturies of civilization in subduing wild beasts failed in thiscase.  I had finally to resort to the gentle language of thewhip in order to bring him to my will.  With all mykindness, however, I never succeeded in gaining my Donkey'slove.  He is still today as savage as the day I foundhim.  He still fears and hates me.  But I have found inhim one great redeeming feature.  Do you see this littlebump on his forehead?  It is this bump which gives himhis great talent of dancing and using his feet as nimblyas a human being.  Admire him, O signori, and enjoyyourselves.  I let you, now, be the judges of my success as ateacher of animals.  Before I leave you, I wish to statethat there will be another performance tomorrow night.If the weather threatens rain, the great spectacle will takeplace at eleven o'clock in the morning.""","""Most honored "
1511,"The Manager bowed and then turned to Pinocchio and said:""Ready, Pinocchio!  Before starting your performance,salute your audience!""",The Mana
1512,"Pinocchio obediently bent his two knees to the groundand remained kneeling until the Manager, with the crackof the whip, cried sharply:  ""Walk!""","Pinocchio obediently bent his two knees to the groundand remained kneeling until the Manager, with the crackof the whip, cried sharp"
1513,The Donkey lifted himself on his four feet and walkedaround the ring.  A few minutes passed and again thevoice of the Manager called:,The Donkey lifted himself on his four feet and 
1514,"""Quickstep!"" and Pinocchio obediently changed his step.","""Quickstep!"" and Pinocchio obediently"
1515,"""Gallop!"" and Pinocchio galloped.",""""
1516,"""Full speed!"" and Pinocchio ran as fast as he could.As he ran the master raised his arm and a pistol shot rangin the air.","""Full speed!"" and Pinocchio ran as fast as he could.As he ran the master raised his arm and a"
1517,"At the shot, the little Donkey fell to the ground as ifhe were really dead.","At the shot, "
1518,A shower of applause greeted the Donkey as he arose to his feet.Cries and shouts and handclappings were heard on all sides.,A shower of applause greeted the Donkey as he arose to his feet.Cries and shouts and handclappi
1519,"At all that noise, Pinocchio lifted his head and raisedhis eyes.  There, in front of him, in a box sat a beautifulwoman.  Around her neck she wore a long gold chain,from which hung a large medallion.  On the medallionwas painted the picture of a Marionette.","At all that noise, Pinocchio lifted his"
1520,"""That picture is of me!  That beautiful lady is my Fairy!""said Pinocchio to himself, recognizing her.  He felt so happythat he tried his best to cry out:","""That picture is of me!  That"
1521,"""Oh, my Fairy!  My own Fairy!""","""Oh,"
1522,"But instead of words, a loud braying was heard in the theater,so loud and so long that all the spectators--men, women,and children, but especially the children--burst out laughing.","But instead of words, a loud braying was heard in the theater,so loud and so long that all the spectators--men, women,and children, but especiall"
1523,"Then, in order to teach the Donkey that it was notgood manners to bray before the public, the Managerhit him on the nose with the handle of the whip.","Then, in order to teach the Donkey that it "
1524,The poor little Donkey stuck out a long tongue and lickedhis nose for a long time in an effort to take away the pain.,The poor little Donkey stuck out a long tongue and lickedhis n
1525,"And what was his grief when on looking up toward the boxes,he saw that the Fairy had disappeared!",And what was his grief when on lookin
1526,"He felt himself fainting, his eyes filled with tears,and he wept bitterly.  No one knew it, however,least of all the Manager, who, cracking his whip, cried out:",He felt hi
1527,"""Bravo, Pinocchio!  Now show us how gracefully you canjump through the rings.""","""Bravo, Pinocchio!  Now show us how gracefully you canjump through the "
1528,"Pinocchio tried two or three times, but each time hecame near the ring, he found it more to his taste to gounder it.  The fourth time, at a look from his master heleaped through it, but as he did so his hind legs caughtin the ring and he fell to the floor in a heap.","Pinocchio tried two or three times, but each time hecame near the ring, he found it more to his taste to gounder it.  The fourth time, at "
1529,"When he got up, he was lame and could hardly limp asfar as the stable.","When he got up, he was lame and could hardly limp asfar a"
1530,"""Pinocchio!  We want Pinocchio!  We want the little Donkey!""cried the boys from the orchestra, saddened by the accident.","""Pinocchio!  We want Pinocchio!  We want the little Donkey!""cried the boys from the orchest"
1531,No one saw Pinocchio again that evening.,No one saw Pinocchio again that eve
1532,"The next morning the veterinary--that is, the animal doctor--declared that he would be lame for the rest of his life.",The next morning the veteri
1533,"""What do I want with a lame donkey?"" said the Managerto the stableboy.  ""Take him to the market and sell him.""","""What do I want with a lam"
1534,"When they reached the square, a buyer was soon found.",When they rea
1535,"""How much do you ask for that little lame Donkey?"" he asked.","""How much do you"
1536,"""Four dollars.""","""Four do"
1537,"""I'll give you four cents.  Don't think I'm buying himfor work.  I want only his skin.  It looks very tough andI can use it to make myself a drumhead.  I belong to amusical band in my village and I need a drum.""","""I'll give you four cents.  Don't think I'm buying himfor work.  I want only his skin.  It looks very tough andI can use it to make myself a drumhe"
1538,"I leave it to you, my dear children, to picture toyourself the great pleasure with which Pinocchio heard thathe was to become a drumhead!","I leave it to you, my dear children, to picture toyourself the great pl"
1539,"As soon as the buyer had paid the four cents, theDonkey changed hands.  His new owner took him to a highcliff overlooking the sea, put a stone around his neck,tied a rope to one of his hind feet, gave him a push, andthrew him into the water.","As soon as the buyer had paid the four cents, t"
1540,"Pinocchio sank immediately.  And his new master saton the cliff waiting for him to drown, so as to skin himand make himself a drumhead.","Pinocchio sank immediately.  And his new master saton the cliff waiting for him to drown, "
1541,CHAPTER 34,CHAPT
1542,"Pinocchio is thrown into the sea, eaten by fishes,and becomes a Marionette once more.  As he swims to land,he is swallowed by the Terrible Shark",Pino
1543,"Down into the sea, deeper and deeper, sank Pinocchio, andfinally, after fifty minutes of waiting, the man on the cliffsaid to himself:","Down into the sea, deeper and deeper, sank Pinocchio, andfinally, after fifty minutes of waiting, the man o"
1544,"""By this time my poor little lame Donkey must bedrowned.  Up with him and then I can get to work on mybeautiful drum.""","""By this time my poor little lame Donkey must bedrowned.  Up with him and then"
1545,"He pulled the rope which he had tied to Pinocchio'sleg--pulled and pulled and pulled and, at last, he sawappear on the surface of the water--Can you guess what?Instead of a dead donkey, he saw a very much aliveMarionette, wriggling and squirming like an eel.","He pulled the rope which he had tied to Pinocchio'sleg--pulled and pulled and pulled and, at last, he sawappear on the surface of the water--Can you guess what?Instead of a dead donkey, he saw a very mu"
1546,"Seeing that wooden Marionette, the poor man thoughthe was dreaming and sat there with his mouth wide openand his eyes popping out of his head.","Seeing that wooden Marionette, the poor man thoughthe was dreaming and sat there with his mouth wide open"
1547,"Gathering his wits together, he said:","Gathering his wits together, he sai"
1548,"""And the Donkey I threw into the sea?""","""And the Donkey I threw into"
1549,"""I am that Donkey,"" answered the Marionette laughing.","""I am th"
1550,"""You?""","""Yo"
1551,"""I.""",""""
1552,"""Ah, you little cheat!  Are you poking fun at me?""","""Ah, you little c"
1553,"""Poking fun at you?  Not at all, dear Master.I am talking seriously.""","""Poking fu"
1554,"""But, then, how is it that you, who a few minutes agowere a donkey, are now standing before me a wooden Marionette?""","""But, then, how is it that you, who a few minutes agowere a donkey, are now standin"
1555,"""It may be the effect of salt water.  The sea is fond ofplaying these tricks.""","""It may be the effect"
1556,"""Be careful, Marionette, be careful!  Don't laugh at me!Woe be to you, if I lose my patience!""","""Be careful, Marionette, be careful!  Don't laugh at me!Woe be to you, if I lose my patien"
1557,"""Well, then, my Master, do you want to know my whole story?Untie my leg and I can tell it to you better.""","""Well, then, my Master, do you want to know my whole story?Untie my leg and I can "
1558,"The old fellow, curious to know the true story of theMarionette's life, immediately untied the rope which held his foot.Pinocchio, feeling free as a bird of the air, began his tale:","The old fellow, curious to know the true story of theMarionette's life, immediately un"
1559,"""Know, then, that, once upon a time, I was a woodenMarionette, just as I am today.  One day I was about tobecome a boy, a real boy, but on account of my lazinessand my hatred of books, and because I listened to badcompanions, I ran away from home.  One beautiful morning,I awoke to find myself changed into a donkey--longears, gray coat, even a tail!  What a shameful day for me!I hope you will never experience one like it, dear Master.I was taken to the fair and sold to a Circus Owner, whotried to make me dance and jump through the rings.  Onenight, during a performance, I had a bad fall and becamelame.  Not knowing what to do with a lame donkey, the CircusOwner sent me to the market place and you bought me.""","""Kno"
1560,"""Indeed I did!  And I paid four cents for you.Now who will return my money to me?""","""Indeed I did!  And I "
1561,"""But why did you buy me?  You bought me to do meharm--to kill me--to make a drumhead out of me!""","""But why did you buy me?  You bought me to do meharm--to kill me--to make a drum"
1562,"""Indeed I did!  And now where shall I find another skin?""","""Indeed I did!  And now where shall I find another "
1563,"""Never mind, dear Master.  There are so many donkeysin this world.""","""Never mind, dear Master.  T"
1564,"""Tell me, impudent little rogue, does your story end here?""","""Tell me, impudent little rogue, does your story e"
1565,"""One more word,"" answered the Marionette, ""and I am through.After buying me, you brought me here to kill me.  But feelingsorry for me, you tied a stone to my neck and threw meto the bottom of the sea.  That was very good and kindof you to want me to suffer as little as possibleand I shall remember you always.  And now my Fairywill take care of me, even if you--""","""One more word,"" answered the Marionette, ""and I am through.Afte"
1566,"""Your Fairy?  Who is she?""","""Your Fai"
1567,"""She is my mother, and, like all other mothers wholove their children, she never loses sight of me, eventhough I do not deserve it.  And today this good Fairyof mine, as soon as she saw me in danger of drowning,sent a thousand fishes to the spot where I lay.  Theythought I was really a dead donkey and began to eat me.What great bites they took!  One ate my ears, another mynose, a third my neck and my mane.  Some went at mylegs and some at my back, and among the others, therewas one tiny fish so gentle and polite that he did methe great favor of eating even my tail.""","""She is my mother, and, like all other mothers wholove their children, she never loses sight of me, eventhough I do not deserve it.  And today this good Fairyof mine, as soon as she saw me in danger of drowning,sent"
1568,"""From now on,"" said the man, horrified, ""I swear I shallnever again taste fish.  How I should enjoy opening a mulletor a whitefish just to find there the tail of a dead donkey!""","""From now on,"" said the man, horrified, ""I swear I shallnever again taste fish.  How I should enjoy opening a mulletor a whit"
